full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n333781147,"333781147",node,tram_stop,Stadion Feyenoord,4.5242452,51.8957409
n349170393,"349170393",node,tram_stop,Dedemsvaartweg,4.2628342,52.0502843
n360384342,"360384342",node,tram_stop,Valkenboslaan,4.2755683,52.0683902
n360423745,"360423745",node,tram_stop,Loevesteinlaan,4.2827404,52.0480242
n360426820,"360426820",node,tram_stop,Erasmusplein,4.3004895,52.0505316
n360748935,"360748935",node,tram_stop,Zuidwoldepad,4.2660032,52.0527688
n360763373,"360763373",node,tram_stop,Laan van Eik en Duinen,4.266472,52.0654222
n360763394,"360763394",node,tram_stop,Walnootstraat,4.2541614,52.060084
n360764389,"360764389",node,tram_stop,De Savornin Lohmanplein,4.2454462,52.0671258
n360766174,"360766174",node,tram_stop,Azaleastraat,4.2619124,52.0732763
n364665040,"364665040",node,tram_stop,Beresteinlaan,4.2609768,52.0366668
n364665041,"364665041",node,tram_stop,Beresteinlaan,4.261944,52.0371386
n364665042,"364665042",node,tram_stop,Revalidatiecentrum,4.2663445,52.0395103
n364665043,"364665043",node,tram_stop,Revalidatiecentrum,4.267368,52.0400162
n364665044,"364665044",node,tram_stop,Wolweversgaarde,4.2696135,52.0411996
n364669055,"364669055",node,tram_stop,Leggelostraat,4.2761226,52.0445789
n364671416,"364671416",node,tram_stop,Zuiderpark,4.2913378,52.0526648
n364796732,"364796732",node,tram_stop,Anna Bijnslaan,4.2990837,52.0554224
n364796753,"364796753",node,tram_stop,Anna Bijnslaan,4.3003204,52.0558039
n364796761,"364796761",node,tram_stop,Delftselaan,4.2958182,52.0682006
n364796765,"364796765",node,tram_stop,Delftselaan,4.2944542,52.0694988
n364796781,"364796781",node,tram_stop,Delftselaan,4.294242,52.0685207
n364796806,"364796806",node,tram_stop,Nunspeetlaan,4.285041,52.0667318
n364797099,"364797099",node,tram_stop,Nunspeetlaan,4.2847606,52.0666071
n364802343,"364802343",node,tram_stop,Tienhovenselaan,4.277333,52.0647222
n364802346,"364802346",node,tram_stop,Monnickendamplein,4.270767,52.0622299
n364802358,"364802358",node,tram_stop,Leyenburg,4.2657892,52.0571982
n364802370,"364802370",node,tram_stop,De Rade,4.2585486,52.0480533
n364802376,"364802376",node,tram_stop,Bouwlustlaan,4.2554061,52.0460608
n364802384,"364802384",node,tram_stop,Beresteinlaan,4.2498464,52.0425518
n364802385,"364802385",node,tram_stop,De Uithof,4.2453709,52.0394237
n364812297,"364812297",node,tram_stop,Station Moerwijk,4.3076743,52.0547043
n364812373,"364812373",node,tram_stop,Erasmusplein,4.2990498,52.0498053
n364812376,"364812376",node,tram_stop,Betje Wolffstraat,4.2935673,52.0468437
n364812377,"364812377",node,tram_stop,Hardenbroekstraat,4.2902497,52.0451075
n364813868,"364813868",node,tram_stop,Heeswijkplein,4.303051,52.0518954
n367033454,"367033454",node,tram_stop,Zuidwoldepad,4.2661858,52.0528818
n367051587,"367051587",node,tram_stop,Kapelaan Meereboerweg,4.2383448,52.0507166
n367051601,"367051601",node,tram_stop,Kraayensteinlaan,4.236561,52.0489964
n367702771,"367702771",node,tram_stop,Dorpskade,4.2885006,52.0169885
n370013102,"370013102",node,tram_stop,Doorslag,5.0739833,52.0205972
n370015589,"370015589",node,tram_stop,Clinckhoeff,5.0473522,52.0268126
n370015619,"370015619",node,tram_stop,Eiteren,5.035449,52.0251334
n370017732,"370017732",node,tram_stop,Achterveld,5.0283187,52.0220756
n370017739,"370017739",node,tram_stop,Binnenstad,5.0400751,52.0165893
n370017785,"370017785",node,tram_stop,IJsselstein-Zuid,5.0385157,52.009429
n371226400,"371226400",node,tram_stop,Osdorpplein Oost,4.8077454,52.359326
n371265387,"371265387",node,tram_stop,Prinsengracht,4.8843839,52.3650035
n371265504,"371265504",node,tram_stop,Keizersgracht,4.8863435,52.3659309
n373287954,"373287954",node,tram_stop,Arnold Spoelplein,4.2326715,52.0547664
n373288026,"373288026",node,tram_stop,Pisuissestraat,4.2278919,52.0575086
n373288030,"373288030",node,tram_stop,Mozartlaan,4.2326642,52.0587492
n373288033,"373288033",node,tram_stop,Mozartlaan,4.2317087,52.0607211
n373288042,"373288042",node,tram_stop,Heliotrooplaan,4.2308069,52.0626955
n373318365,"373318365",node,tram_stop,Muurbloemweg,4.2344634,52.0638999
n373318372,"373318372",node,tram_stop,Hoefbladlaan,4.239405,52.0653354
n373335812,"373335812",node,tram_stop,Appelstraat,4.2517704,52.0694355
n373335843,"373335843",node,tram_stop,Zonnebloemstraat,4.2556546,52.0709697
n373335848,"373335848",node,tram_stop,Zonnebloemstraat,4.2570245,52.0714467
n373335852,"373335852",node,tram_stop,Goudenregenstraat,4.2675925,52.0752536
n373335905,"373335905",node,tram_stop,Fahrenheitstraat,4.2711173,52.0764988
n373335909,"373335909",node,tram_stop,Valkenbosplein,4.2765347,52.0784764
n373340836,"373340836",node,tram_stop,Conradkade,4.2832266,52.0806116
n373340880,"373340880",node,tram_stop,Van Speijkstraat,4.2880174,52.0815389
n373396818,"373396818",node,tram_stop,De la Reyweg,4.2852922,52.0709349
n373403245,"373403245",node,tram_stop,Markenseplein,4.2525435,52.0881406
n373409669,"373409669",node,tram_stop,Tholensestraat,4.2555761,52.0863266
n373409676,"373409676",node,tram_stop,Doctor van Welylaan,4.25753,52.0850314
n373409682,"373409682",node,tram_stop,Doctor van Welylaan,4.2583206,52.0843572
n373409693,"373409693",node,tram_stop,Sportlaan,4.2600826,52.0804593
n373409700,"373409700",node,tram_stop,Sportlaan,4.2604069,52.0801782
n373409711,"373409711",node,tram_stop,Weimarstraat,4.2800721,52.0754461
n373409717,"373409717",node,tram_stop,Cartesiusstraat,4.2817458,52.0734798
n373409728,"373409728",node,tram_stop,Loosduinseweg,4.2851515,52.0706324
n373418626,"373418626",node,tram_stop,Monstersestraat,4.2934301,52.0731652
n373428615,"373428615",node,tram_stop,Buitentuinen,4.2469211,52.0568651
n373436902,"373436902",node,tram_stop,Burgemeester Hovylaan,4.241846,52.0553609
n373436922,"373436922",node,tram_stop,Laan van Eik en Duinen,4.2665859,52.0655075
n373436925,"373436925",node,tram_stop,Kamperfoeliestraat,4.2711484,52.0669505
n373436930,"373436930",node,tram_stop,Valkenboslaan,4.2772814,52.0688877
n373436938,"373436938",node,tram_stop,HMC Westeinde,4.2991372,52.0732986
n378269455,"378269455",node,tram_stop,Dierenselaan,4.2818579,52.0666753
n388184245,"388184245",node,tram_stop,IJburg,5.0049024,52.3511345
n409816890,"409816890",node,tram_stop,Lage Veld,4.2940452,52.0229048
n409816891,"409816891",node,tram_stop,Oosteinde,4.2900549,52.0265167
n409816892,"409816892",node,tram_stop,Oosteinde,4.2898952,52.0266373
n410655124,"410655124",node,tram_stop,Weteringplein,4.328154,52.0751883
n418653418,"418653418",node,tram_stop,Olympiaweg,4.8583402,52.3452652
n427558737,"427558737",node,tram_stop,Centraal Station,4.9003819,52.3778942
n427558833,"427558833",node,tram_stop,Centraal Station,4.9009769,52.3778507
n427560648,"427560648",node,tram_stop,Weesperplein,4.9071213,52.3610021
n427560737,"427560737",node,tram_stop,Weesperplein,4.9091584,52.3614042
n427561909,"427561909",node,tram_stop,Wibautstraat,4.9093615,52.3572865
n427562504,"427562504",node,tram_stop,Muiderpoortstation,4.9328494,52.3612127
n434142267,"434142267",node,tram_stop,Amsteldijk,4.9109989,52.3471106
n434142268,"434142268",node,tram_stop,Waalstraat,4.9003351,52.3468171
n434142269,"434142269",node,tram_stop,Waalstraat,4.8997164,52.3465631
n434142275,"434142275",node,tram_stop,Scheldestraat,4.8915256,52.3472646
n434397628,"434397628",node,tram_stop,Wiltzanghlaan,4.8508513,52.3828002
n434397629,"434397629",node,tram_stop,Bos en Lommerweg,4.8539004,52.3811188
n434397631,"434397631",node,tram_stop,Karel Doormanstraat,4.8569721,52.3788687
n434397633,"434397633",node,tram_stop,De Rijpstraat,4.8577243,52.3773555
n434397634,"434397634",node,tram_stop,Jan van Galenstraat,4.8584711,52.3751323
n434397635,"434397635",node,tram_stop,Jan van Galenstraat,4.8586427,52.3743002
n434397637,"434397637",node,tram_stop,Admiraal De Ruijterweg,4.8600128,52.371502
n434398865,"434398865",node,tram_stop,Willem de Zwijgerlaan,4.8636349,52.3706925
n434414719,"434414719",node,tram_stop,C. van Eesterenlaan,4.9388456,52.3735665
n434430962,"434430962",node,tram_stop,Alexanderplein,4.9192366,52.3638735
n434441207,"434441207",node,tram_stop,Korte 's-Gravesandestraat,4.9135923,52.3623479
