full_id,osm_id,osm_type,highway,name,xcoord,ycoord
n264524933,"264524933",node,bus_stop,Niels Bohrweg,4.4571513,52.168122
n264524934,"264524934",node,bus_stop,Niels Bohrweg,4.4572696,52.1680207
n264524935,"264524935",node,bus_stop,Endegeest,4.4630846,52.1749641
n264524936,"264524936",node,bus_stop,Endegeest,4.4628406,52.1745677
n264524937,"264524937",node,bus_stop,van Assendelftstraat,4.4633371,52.1780722
n265608444,"265608444",node,bus_stop,Leidsebuurt,4.4649724,52.1801086
n265608446,"265608446",node,bus_stop,Duinzichtstraat,4.4660184,52.1836618
n265608447,"265608447",node,bus_stop,Duinzichtstraat,4.4662075,52.1844941
n265608449,"265608449",node,bus_stop,Dorpsstraat,4.4673636,52.1899001
n265608450,"265608450",node,bus_stop,Dorpsstraat,4.4672171,52.1896487
n266184521,"266184521",node,bus_stop,Morsebellaan,4.4768391,52.1954979
n266721667,"266721667",node,bus_stop,Generaal Maczeklaan,4.9346948,51.4471611
n266961179,"266961179",node,bus_stop,Burggravenlaan,4.5061676,52.1553327
n266961181,"266961181",node,bus_stop,Burggravenlaan,4.5090279,52.1551249
n267251148,"267251148",node,bus_stop,Floresstraat,4.4524185,52.178612
n267251149,"267251149",node,bus_stop,Floresstraat,4.453025,52.1788294
n267251150,"267251150",node,bus_stop,Rijnzichtviaduct,4.4585644,52.1791291
n267251151,"267251151",node,bus_stop,Leidsebuurt,4.4652132,52.1795688
n267251152,"267251152",node,bus_stop,Leidsebuurt,4.4639594,52.1798621
n267251154,"267251154",node,bus_stop,De Kempenaerstraat,4.4676371,52.1769849
n267251155,"267251155",node,bus_stop,Hendrik Kraemerpark,4.4710411,52.1748913
n267251156,"267251156",node,bus_stop,Hendrik Kraemerpark,4.4703958,52.175044
n268670495,"268670495",node,bus_stop,Splitsing,4.4464094,52.1887969
n268670498,"268670498",node,bus_stop,Splitsing,4.4444195,52.1883504
n268670516,"268670516",node,bus_stop,Frederiksoord,4.447927,52.1850975
n268670517,"268670517",node,bus_stop,Frederiksoord,4.4476171,52.184899
n269180596,"269180596",node,bus_stop,Brug,5.6486025,51.5116096
n269722392,"269722392",node,bus_stop,Morsebellaan,4.4769219,52.1946746
n271226100,"271226100",node,bus_stop,Boschstraat/Markt,5.6900623,50.8525973
n271226180,"271226180",node,bus_stop,Boschstraat/Maagdendries,5.6898801,50.85453
n271726814,"271726814",node,bus_stop,Prinsessekade,4.4855886,52.1615127
n273491421,"273491421",node,bus_stop,Gerard Brandtstraat,4.4735221,52.162378
n273491422,"273491422",node,bus_stop,Gerard Brandtstraat,4.4738476,52.1624041
n273491434,"273491434",node,bus_stop,Muiderkring,4.4693721,52.1634496
n273491436,"273491436",node,bus_stop,Muiderkring,4.4711416,52.1632538
n273491444,"273491444",node,bus_stop,Damlaan,4.4699981,52.1597254
n273491446,"273491446",node,bus_stop,Damlaan,4.4700839,52.1596807
n273501479,"273501479",node,bus_stop,Hooigracht,4.49761,52.1593613
n273501486,"273501486",node,bus_stop,Pelikaan,4.4974849,52.1613523
n273501491,"273501491",node,bus_stop,Energiepark,4.4892324,52.1635974
n274296181,"274296181",node,bus_stop,Berg Kerk,5.7836599,50.8599312
n274296183,"274296183",node,bus_stop,Berg Kerk,5.7848172,50.8600935
n274296371,"274296371",node,bus_stop,Lindenstraat,5.7935736,50.8590673
n274296372,"274296372",node,bus_stop,Lindenstraat,5.7936032,50.8589319
n274296519,"274296519",node,bus_stop,Vinkenweg,5.8079518,50.8577375
n274296520,"274296520",node,bus_stop,Vinkenweg,5.8072426,50.8576657
n274296944,"274296944",node,bus_stop,Cauberg,5.8218772,50.8585237
n274296945,"274296945",node,bus_stop,Cauberg,5.8219734,50.8582684
n274327491,"274327491",node,bus_stop,Steenkolenmijn,5.8275867,50.8582028
n274327492,"274327492",node,bus_stop,Steenkolenmijn,5.8273929,50.8577373
n274329269,"274329269",node,bus_stop,Gasthuis,5.7874295,50.8433907
n274687611,"274687611",node,bus_stop,Broeklaan,6.36914,52.8340647
n274803156,"274803156",node,bus_stop,Brink,6.365728,52.8340425
n274803158,"274803158",node,bus_stop,Brink,6.3657524,52.8338951
n274803159,"274803159",node,bus_stop,Weverslaan,6.3724399,52.8362843
n274803161,"274803161",node,bus_stop,Valderseweg,6.3753303,52.8379615
n274803163,"274803163",node,bus_stop,Brinkweg,6.3655851,52.8363749
n274804057,"274804057",node,bus_stop,Stevensweg,6.3546515,52.8430276
n274804376,"274804376",node,bus_stop,Stevensweg,6.3558273,52.8424233
n275000140,"275000140",node,bus_stop,Gaasperdamstraat,4.8043113,52.4451925
n275376929,"275376929",node,bus_stop,Eikelhof,4.325755,51.3935749
n275579676,"275579676",node,bus_stop,Doormanlaan,5.5091139,51.5172041
n275684100,"275684100",node,bus_stop,Sprundelseweg,4.5655022,51.5321919
n276298259,"276298259",node,bus_stop,Achterdijk,5.6850486,51.4623909
n276992177,"276992177",node,bus_stop,Lommerlustlaan,4.4948399,52.1912606
n276992182,"276992182",node,bus_stop,Sweilandstraat,4.4999973,52.1948399
n276992187,"276992187",node,bus_stop,Baan,4.5047554,52.1984418
n276992188,"276992188",node,bus_stop,Warmundastraat,4.5054537,52.2013521
n276992189,"276992189",node,bus_stop,Warmundastraat,4.5053344,52.2010134
n277275791,"277275791",node,bus_stop,Lommerlustlaan,4.4943323,52.1909885
n277275794,"277275794",node,bus_stop,Sweilandstraat,4.4993908,52.1938053
n277275804,"277275804",node,bus_stop,Baan,4.50341,52.1976866
n277627763,"277627763",node,bus_stop,Plantage,4.501391,52.1548879
n277627766,"277627766",node,bus_stop,Plantage,4.5015572,52.1548171
n277627768,"277627768",node,bus_stop,Kraaierstraat,4.4975938,52.1549238
n277627769,"277627769",node,bus_stop,Kraaierstraat,4.4983453,52.1548373
n278326528,"278326528",node,bus_stop,,-68.3294933,12.2387699
