full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n3032594053,"3032594053",node,buffer_stop,,4.9638275,52.3310066
n3032594058,"3032594058",node,switch,,4.9651141,52.3307022
n3032594061,"3032594061",node,switch,,4.9668545,52.3301634
n3032594064,"3032594064",node,switch,,4.9659815,52.3302106
n3032594067,"3032594067",node,switch,,4.966379,52.3302062
n3032594069,"3032594069",node,switch,,4.9659521,52.3302418
n3032594070,"3032594070",node,switch,,4.9692114,52.329629
n3032594071,"3032594071",node,switch,,4.969801,52.3294446
n3032594072,"3032594072",node,switch,,4.9704273,52.3292545
n3032594084,"3032594084",node,switch,,4.9701218,52.3294183
n3032594087,"3032594087",node,switch,,4.9683795,52.3299401
n3032594088,"3032594088",node,switch,,4.9671447,52.3301087
n3032594089,"3032594089",node,switch,,4.9680984,52.3299903
n3032594092,"3032594092",node,switch,,4.9684895,52.3296864
n3032594093,"3032594093",node,switch,,4.9690822,52.329618
n3068334491,"3068334491",node,stop,Spijkenisse Centrum,4.3344414,51.8465547
n3109722063,"3109722063",node,stop,Blaak,4.4888603,51.9197652
n3149917969,"3149917969",node,stop,Marconiplein,4.4328269,51.9132807
n3149917981,"3149917981",node,stop,Troelstralaan,4.3845814,51.9156012
n3149917987,"3149917987",node,stop,De Akkers,4.3198935,51.8333889
n3149917988,"3149917988",node,stop,Heemraadlaan,4.3315954,51.8377527
n3149917989,"3149917989",node,stop,Zalmplaat,4.3625755,51.8550454
n3149917991,"3149917991",node,stop,Rhoon,4.4194841,51.8591504
n3149917992,"3149917992",node,stop,Poortugaal,4.3958008,51.8617402
n3149917993,"3149917993",node,stop,Tussenwater,4.3768005,51.8626434
n3149917994,"3149917994",node,stop,Tussenwater,4.3768209,51.8627951
n3149917995,"3149917995",node,stop,Slinge,4.4777958,51.8745817
n3149917996,"3149917996",node,stop,Slinge,4.4776045,51.8745996
n3149917997,"3149917997",node,stop,Zuidplein,4.4883544,51.8868895
n3149917998,"3149917998",node,stop,Rijnhaven,4.4968239,51.90358
n3187687711,"3187687711",node,stop,Rokin,4.8925639,52.3705391
n3308281966,"3308281966",node,stop,Centraal Station,4.9008686,52.3773546
n3809220826,"3809220826",node,switch,,4.8779985,52.339245
n3809220830,"3809220830",node,switch,,4.8846464,52.3393094
n3809220831,"3809220831",node,switch,,4.8772326,52.3393181
n3809220838,"3809220838",node,railway_crossing,,4.8800792,52.3393616
n3809220840,"3809220840",node,switch,,4.880809,52.3393743
n3809220841,"3809220841",node,switch,,4.8815713,52.3393871
n3809220844,"3809220844",node,railway_crossing,,4.8811413,52.3393997
n3809220846,"3809220846",node,railway_crossing,,4.8804681,52.3394085
n3809220849,"3809220849",node,switch,,4.8807207,52.3394116
n3809220850,"3809220850",node,switch,,4.8815356,52.3394267
n3809221357,"3809221357",node,switch,,4.8775083,52.3394351
n3809221363,"3809221363",node,switch,,4.8813282,52.3394866
n3829959198,"3829959198",node,buffer_stop,,4.8488586,52.3950756
n3829959203,"3829959203",node,buffer_stop,,4.8548168,52.3950588
n3829959206,"3829959206",node,buffer_stop,,4.8548171,52.3951
n3829959213,"3829959213",node,buffer_stop,,4.8487445,52.3952523
n3829959217,"3829959217",node,buffer_stop,,4.8482199,52.3952781
n3829959220,"3829959220",node,switch,,4.8507939,52.39531
n3829959222,"3829959222",node,buffer_stop,,4.8482171,52.3953203
n3900328982,"3900328982",node,buffer_stop,,4.9869503,52.3086083
n3900328983,"3900328983",node,buffer_stop,,4.9869948,52.3086231
n3912942102,"3912942102",node,stop,Melanchthonweg,4.4646984,51.9482363
n3912942103,"3912942103",node,stop,Melanchthonweg,4.4644824,51.9486955
n3978300928,"3978300928",node,railway_crossing,,4.9704642,52.3262929
n3978300936,"3978300936",node,railway_crossing,,4.9309199,52.3289952
n3978300938,"3978300938",node,buffer_stop,,4.9660247,52.3290474
n3978300951,"3978300951",node,railway_crossing,,4.9277711,52.332314
n3978301794,"3978301794",node,buffer_stop,,4.9262571,52.3342687
n3978301832,"3978301832",node,railway_crossing,,4.923992,52.3363679
n3978301846,"3978301846",node,switch,,4.9227,52.3380061
n3978301848,"3978301848",node,railway_crossing,,4.8605733,52.3386013
n3978301849,"3978301849",node,railway_crossing,,4.8666831,52.3388528
n3978301857,"3978301857",node,railway_crossing,,4.9168472,52.3476121
n4001588901,"4001588901",node,buffer_stop,,4.955032,52.3035783
n4001588929,"4001588929",node,switch,,4.9712191,52.3293982
n4001588930,"4001588930",node,railway_crossing,,4.9707263,52.3294461
n4001588937,"4001588937",node,buffer_stop,,4.9709247,52.3295606
n4001588939,"4001588939",node,buffer_stop,,4.9706663,52.3296307
n4001588945,"4001588945",node,switch,,4.9690553,52.3298094
n4001588947,"4001588947",node,switch,,4.968316,52.3298432
n4001588950,"4001588950",node,switch,,4.9688466,52.3299246
n4001588951,"4001588951",node,switch,,4.9679016,52.3299626
n4001588956,"4001588956",node,railway_crossing,,4.9116076,52.3304067
n4001589159,"4001589159",node,switch,,4.9663165,52.3304167
n4001589164,"4001589164",node,switch,,4.9655211,52.3307181
n4001589207,"4001589207",node,railway_crossing,,4.8527611,52.3381031
n4001589210,"4001589210",node,switch,,4.922217,52.338356
n4001589211,"4001589211",node,switch,,4.9222511,52.3383916
n4001589212,"4001589212",node,railway_crossing,,4.9221072,52.3385215
n4001589213,"4001589213",node,switch,,4.9219364,52.3386766
n4001589214,"4001589214",node,switch,,4.9220095,52.3386673
n4001589229,"4001589229",node,switch,,4.8394327,52.3851931
n4001589230,"4001589230",node,switch,,4.8394879,52.3852042
n4001589231,"4001589231",node,railway_crossing,,4.8393829,52.3854848
n4001589233,"4001589233",node,switch,,4.8392717,52.3857157
n4001589234,"4001589234",node,switch,,4.8393414,52.3857281
n4005961976,"4005961976",node,stop,Bijlmer ArenA,4.9473959,52.3117311
n4005961977,"4005961977",node,stop,Centraal Station,4.9009371,52.3791884
n4005961978,"4005961978",node,stop,Centraal Station,4.9008785,52.3792082
n4005961979,"4005961979",node,stop,Noord,4.932585,52.4020575
n4005961980,"4005961980",node,stop,Noord,4.932402,52.4021571
n4005961981,"4005961981",node,stop,Noorderpark,4.9182755,52.3885941
n4005961982,"4005961982",node,stop,Noorderpark,4.9181114,52.3886982
n4005962406,"4005962406",node,railway_crossing,,4.9452724,52.3142056
n4005962475,"4005962475",node,switch,,4.9071106,52.3830626
n4005962476,"4005962476",node,switch,,4.9068021,52.3830162
n4005962478,"4005962478",node,switch,,4.9075883,52.3833443
n4005962481,"4005962481",node,buffer_stop,,4.9096706,52.3843195
n4005962485,"4005962485",node,switch,,4.9136841,52.3863221
n4005962486,"4005962486",node,switch,,4.9140952,52.3864874
n4005962487,"4005962487",node,switch,,4.9144116,52.3866481
n4005962488,"4005962488",node,switch,,4.9147543,52.3868648
n4005962522,"4005962522",node,switch,,4.9279893,52.3986119
n4005962524,"4005962524",node,switch,,4.9289408,52.3992704
n4005962527,"4005962527",node,switch,,4.9292779,52.3995225
n4005962530,"4005962530",node,switch,,4.930722,52.4008341
n4005962539,"4005962539",node,switch,,4.9336133,52.4028516
n4005962541,"4005962541",node,switch,,4.9334042,52.4029534
n4005962543,"4005962543",node,switch,,4.9339887,52.4033307
n4005962544,"4005962544",node,switch,,4.9340721,52.4032944
n4005962545,"4005962545",node,railway_crossing,,4.9342186,52.4034595
n4005962553,"4005962553",node,buffer_stop,,4.9360283,52.4046897
n4015458389,"4015458389",node,stop,Amstelstation,4.9174059,52.3466361
n4015458390,"4015458390",node,stop,Amstelstation,4.9174767,52.3466483
n4035522492,"4035522492",node,buffer_stop,,4.8477204,52.3950905
n4039017993,"4039017993",node,switch,,4.9709802,52.3289917
n4040262725,"4040262725",node,stop,Schiedam Centrum,4.4093936,51.9214531
n4048801952,"4048801952",node,stop,Hoogvliet,4.36681,51.8606106
n4048801953,"4048801953",node,stop,Hoogvliet,4.3667549,51.8606237
n4064153239,"4064153239",node,,Kraaiennest,4.9791866,52.3170385
n4064153242,"4064153242",node,stop,Station Diemen Zuid,4.9567748,52.3303113
n4064153243,"4064153243",node,stop,Station Diemen Zuid,4.9566878,52.3304057
n4064153244,"4064153244",node,stop,Verrijn Stuartweg,4.9673352,52.3283668
n4064245740,"4064245740",node,stop,Van der Madeweg,4.9300743,52.3296548
n4064245741,"4064245741",node,stop,Van der Madeweg,4.9302391,52.3297174
n4064245742,"4064245742",node,stop,Van der Madeweg,4.9302846,52.3297352
n4064245743,"4064245743",node,stop,Van der Madeweg,4.9304544,52.3297847
n4064245744,"4064245744",node,stop,Venserpolder,4.9462773,52.3268326
n4072288190,"4072288190",node,stop,Spaklerweg,4.9206141,52.3401909
n4072288191,"4072288191",node,stop,Spaklerweg,4.9208004,52.3402348
n4072288192,"4072288192",node,stop,Spaklerweg,4.9208526,52.3402457
n4072288193,"4072288193",node,stop,Spaklerweg,4.9210454,52.3402871
n4073737789,"4073737789",node,stop,Amstelveenseweg,4.8575924,52.3383393
n4073737790,"4073737790",node,stop,Amstelveenseweg,4.8575709,52.3384751
n4073737791,"4073737791",node,stop,Overamstel,4.9177027,52.3316595
n4073737792,"4073737792",node,stop,Overamstel,4.9176682,52.3316938
n4073737793,"4073737793",node,stop,Overamstel,4.9176063,52.3317688
n4073737797,"4073737797",node,stop,Zuid,4.8743378,52.3392141
n4073737798,"4073737798",node,stop,Zuid,4.8739633,52.3393223
n4075987790,"4075987790",node,stop,Henk Sneevlietweg,4.8345741,52.3463868
n4076017505,"4076017505",node,stop,Lelylaan,4.8342535,52.3580602
n4076017506,"4076017506",node,stop,Lelylaan,4.8344667,52.3580615
n4077313758,"4077313758",node,stop,De Vlugtlaan,4.838233,52.3794484
n4077313760,"4077313760",node,stop,Isolatorweg,4.8505967,52.3952329
n4077313761,"4077313761",node,stop,Jan van Galenstraat,4.8353639,52.3725816
n4077313762,"4077313762",node,stop,Jan van Galenstraat,4.8351828,52.3725841
n4077313764,"4077313764",node,stop,Postjesweg,4.8340343,52.3645962
n4077313773,"4077313773",node,stop,Station Sloterdijk,4.8387632,52.3890363
n4192295865,"4192295865",node,,Bullewijk,4.9520015,52.3067895
n4192295866,"4192295866",node,stop,Duivendrecht,4.936458,52.3235649
n4192295867,"4192295867",node,stop,Duivendrecht,4.9365601,52.3236024
n4192295869,"4192295869",node,,Gein,4.989299,52.2962711
n4192295870,"4192295870",node,,Holendrecht,4.9599574,52.2980894
n4192295871,"4192295871",node,,Holendrecht,4.9601264,52.2981319
n4192295872,"4192295872",node,,Reigersbos,4.9740002,52.2956365
n4192295879,"4192295879",node,stop,Strandvliet,4.9414198,52.3183621
n4486090771,"4486090771",node,switch,,4.4388082,51.8701934
n4523990540,"4523990540",node,buffer_stop,,4.4397937,51.8685555
n4523990553,"4523990553",node,switch,,4.4404774,51.8688551
n4523990717,"4523990717",node,buffer_stop,,4.4644929,51.8680939
n4523990726,"4523990726",node,switch,,4.4639553,51.8683486
n5037635395,"5037635395",node,switch,,4.8780248,52.3393025
n5046827919,"5046827919",node,stop,Station RAI,4.889539,52.337689
n5046828023,"5046828023",node,stop,Station RAI,4.8894203,52.3376062
n5060449236,"5060449236",node,,,4.9706868,52.3289871
n5080261219,"5080261219",node,switch,,4.4017158,51.924921
n5190934436,"5190934436",node,switch,,4.891674,52.3618427
n5367746707,"5367746707",node,stop,Europaplein,4.8914299,52.3419224
n5367746708,"5367746708",node,stop,Europaplein,4.8915605,52.3411785
n5424656911,"5424656911",node,switch,,4.8997141,52.378012
n5424656912,"5424656912",node,switch,,4.8994068,52.3776962
n5424656913,"5424656913",node,railway_crossing,,4.8995892,52.3778437
n5424656914,"5424656914",node,switch,,4.8997717,52.3779913
n5424657936,"5424657936",node,switch,,4.8994643,52.3776755
n5424713362,"5424713362",node,railway_crossing,,4.9025869,52.3765036
n5424713367,"5424713367",node,buffer_stop,,4.9000818,52.3776936
n5424713426,"5424713426",node,buffer_stop,,4.9002695,52.3778565
n5776568692,"5776568692",node,,,4.8796651,52.3392711
n5776568693,"5776568693",node,,,4.8836726,52.3394002
n5776568694,"5776568694",node,,,4.8748621,52.3390701
n5776568695,"5776568695",node,,,4.8717257,52.339215
n5776624758,"5776624758",node,stop,Vijzelgracht,4.8910469,52.3606866
n5776624759,"5776624759",node,stop,Vijzelgracht,4.8912207,52.3606661
n5776624760,"5776624760",node,stop,De Pijp,4.8906476,52.3539585
n5776624761,"5776624761",node,stop,De Pijp,4.8906487,52.3539577
n5803814179,"5803814179",node,level_crossing,,4.5526555,51.9202989
n5803814180,"5803814180",node,level_crossing,,4.5526666,51.9202699
n5803814189,"5803814189",node,level_crossing,,4.5515596,51.9198863
n5988875838,"5988875838",node,switch,,4.4666994,51.9443829
n5988875841,"5988875841",node,buffer_stop,,4.4666256,51.9447257
n6210163425,"6210163425",node,switch,,4.4022624,51.9245814
n6210163432,"6210163432",node,buffer_stop,,4.3997212,51.9258564
n6214491960,"6214491960",node,,,4.9630117,52.3313551
n6339421019,"6339421019",node,switch,,4.4145838,51.9205445
n6339547166,"6339547166",node,switch,,4.3964863,51.9221887
n6339547167,"6339547167",node,switch,,4.3960759,51.9219724
n6413388530,"6413388530",node,,,4.9628849,52.3313881
n6452764440,"6452764440",node,buffer_stop,,4.4773874,51.8736871
n6452764452,"6452764452",node,switch,,4.477268,51.8732631
n6452764466,"6452764466",node,switch,,4.4769066,51.8720103
n6454299799,"6454299799",node,switch,,4.3179917,51.8331836
n6454299800,"6454299800",node,switch,,4.3180132,51.8331463
n6454299801,"6454299801",node,switch,,4.3174593,51.8330966
n6454299802,"6454299802",node,switch,,4.3174486,51.8331323
n6454344633,"6454344633",node,switch,,4.4016049,51.8606799
n6454344634,"6454344634",node,switch,,4.401853,51.8606343
n6469562887,"6469562887",node,switch,,4.4230296,51.8597003
n6469562888,"6469562888",node,switch,,4.4235892,51.8598219
n6484065646,"6484065646",node,stop,Rokin,4.8927726,52.3704434
n6484103674,"6484103674",node,switch,,4.8914715,52.3613466
n6484103700,"6484103700",node,switch,,4.8915557,52.3618678
n6484103835,"6484103835",node,switch,,4.8913379,52.361374
n6484114212,"6484114212",node,switch,,4.8911363,52.3430709
n6484114286,"6484114286",node,switch,,4.891218,52.3427513
n6484114292,"6484114292",node,switch,,4.89116,52.3427457
n6484114339,"6484114339",node,switch,,4.8910783,52.3430654
n6943876854,"6943876854",node,buffer_stop,,4.9369657,52.4057046
n6943891489,"6943891489",node,buffer_stop,,4.9361998,52.40519
n6943891506,"6943891506",node,buffer_stop,,4.9359518,52.4047137
n6943891518,"6943891518",node,buffer_stop,,4.9370723,52.405655
n6943891579,"6943891579",node,buffer_stop,,4.9374203,52.4059965
n7106869918,"7106869918",node,stop,Nieuwmarkt,4.9010846,52.371353
n7106870068,"7106870068",node,stop,Waterlooplein,4.9036061,52.3666363
n7106870071,"7106870071",node,stop,Waterlooplein,4.9037527,52.3666905
n7106870124,"7106870124",node,stop,Nieuwmarkt,4.9009379,52.3714238
n7106910834,"7106910834",node,buffer_stop,,4.9059483,52.3645998
n7106910981,"7106910981",node,stop,Weesperplein,4.9079182,52.3613263
n7106911022,"7106911022",node,stop,Weesperplein,4.9078472,52.3613094
n7152419363,"7152419363",node,,,4.8988082,52.3770166
n7152419364,"7152419364",node,,,4.8987264,52.3770446
n7237647802,"7237647802",node,,,4.9022232,52.3767236
n7237647803,"7237647803",node,,,4.9023002,52.3767699
n7611931971,"7611931971",node,,,4.901528,52.3797582
n7611931972,"7611931972",node,,,4.9014658,52.3797847
n7611931973,"7611931973",node,,,4.9059241,52.3825925
n7611931974,"7611931974",node,,,4.9059921,52.382538
n7618564133,"7618564133",node,owner_change,,4.4401301,51.8702956
n7618564134,"7618564134",node,loading_gauge,,4.4414364,51.8700141
n7843031791,"7843031791",node,switch,,4.9656648,52.3302658
n8085411316,"8085411316",node,buffer_stop,,4.3123497,51.8323134
n8085415517,"8085415517",node,buffer_stop,,4.3123763,51.8322834
n8085415518,"8085415518",node,buffer_stop,,4.3124018,51.8322466
n8122272881,"8122272881",node,buffer_stop,,4.467323,51.9408958
n8122272882,"8122272882",node,buffer_stop,,4.4673807,51.9409001
n8122359521,"8122359521",node,switch,,4.4671433,51.9416607
n8122359525,"8122359525",node,switch,,4.4671374,51.941689
n8122359526,"8122359526",node,switch,,4.4670645,51.9419983
n8122359529,"8122359529",node,switch,,4.4668098,51.9431414
n8122359531,"8122359531",node,switch,,4.4667799,51.9437495
n8741994477,"8741994477",node,milestone,,4.4662587,51.9455161
n8741994478,"8741994478",node,milestone,,4.4661921,51.9455287
n8742939231,"8742939231",node,switch,,4.485427,51.8845523
n8742939232,"8742939232",node,switch,,4.4847097,51.8843449
n8742939233,"8742939233",node,switch,,4.4847378,51.8843139
n8742939234,"8742939234",node,switch,,4.4853962,51.8845834
n8745967524,"8745967524",node,switch,,4.4963998,51.9020246
n8745967525,"8745967525",node,switch,,4.4962571,51.9014606
n8745967526,"8745967526",node,railway_crossing,,4.4892542,51.8884052
n8745967527,"8745967527",node,switch,,4.4890771,51.8880746
n8745967528,"8745967528",node,switch,,4.4890274,51.8880821
n8746425706,"8746425706",node,switch,,4.3313638,51.8398339
n8746425707,"8746425707",node,switch,,4.3462104,51.8483121
n8746425708,"8746425708",node,switch,,4.3470001,51.8482929
n8746425709,"8746425709",node,switch,,4.3822106,51.8617989
n8746425710,"8746425710",node,switch,,4.3814402,51.8619295
n8746425711,"8746425711",node,switch,,4.3813908,51.8619358
n8746425712,"8746425712",node,switch,,4.3806491,51.8619995
n8780699377,"8780699377",node,switch,,4.4289578,51.9154942
n8780699378,"8780699378",node,switch,,4.4291661,51.9152628
n8780718282,"8780718282",node,switch,,4.4700911,51.9146952
n8780718283,"8780718283",node,switch,,4.4697366,51.9145181
n8780718288,"8780718288",node,switch,,4.4694963,51.9143682
n8780718289,"8780718289",node,switch,,4.4692096,51.9141455
n8780718419,"8780718419",node,switch,,4.4601722,51.9100396
n8780718521,"8780718521",node,switch,,4.4612591,51.9103085
n8780718528,"8780718528",node,switch,,4.4625763,51.9108418
n8780718529,"8780718529",node,switch,,4.4614112,51.9103607
n8780718654,"8780718654",node,switch,,4.4361577,51.9122594
n8780718657,"8780718657",node,switch,,4.4382349,51.9116472
