full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n4487554970,"4487554970",node,station,Zwolle,6.0912373,52.5050086
n4487559980,"4487559980",node,station,Enschede,6.8897811,52.2223649
n4506140444,"4506140444",node,station,Twisk,5.0718372,52.7501954
n4506140445,"4506140445",node,station,Opperdoes,5.0739151,52.7602798
n4519026692,"4519026692",node,station,Hoofddorp,4.6988698,52.2928668
n4530820007,"4530820007",node,station,Deventer,6.1611049,52.2572928
n4530820009,"4530820009",node,station,Apeldoorn,5.9689735,52.2092784
n4530820010,"4530820010",node,station,Almelo,6.6544143,52.3577052
n4555433902,"4555433902",node,station,Venlo,6.171433,51.3650504
n4555433905,"4555433905",node,station,Blerick,6.155296,51.3724162
n4555433907,"4555433907",node,station,Horst-Sevenum,6.0413246,51.4270926
n4555433908,"4555433908",node,station,Deurne,5.7878984,51.4562278
n4555468696,"4555468696",node,station,Almere Centrum,5.2193265,52.3752735
n4555498838,"4555498838",node,station,Den Helder Zuid,4.7641527,52.9326177
n4570324738,"4570324738",node,station,Winschoten,7.0356099,53.139151
n4747648540,"4747648540",node,station,Groningen Noord,6.5565819,53.2301283
n4864373374,"4864373374",node,station,Utrecht Leidsche Rijn,5.0652431,52.0989682
n4942856206,"4942856206",node,station,Pluimweide,3.9134595,51.4216751
n5193927668,"5193927668",node,station,Rotterdam Centraal,4.4696361,51.9239359
n5252617525,"5252617525",node,station,Groningen Europapark,6.585821,53.2047056
n5252617526,"5252617526",node,station,Mantgum,5.7132668,53.1297366
n5252716645,"5252716645",node,station,Haarlem,4.6385788,52.3880778
n5252944882,"5252944882",node,station,Amsterdam Zuid,4.8734324,52.3390172
n5260996738,"5260996738",node,station,Best,5.3892206,51.5098165
n5267675295,"5267675295",node,station,Zuid,4.8744481,52.3391807
n5267675296,"5267675296",node,station,Station Sloterdijk,4.838877,52.3890161
n5267735554,"5267735554",node,station,Den Haag Centraal,4.3255311,52.0807633
n5311118145,"5311118145",node,station,Maastricht,5.7052501,50.8501783
n5316997823,"5316997823",node,station,Kerkrade Centrum,6.0572213,50.8613851
n5316997912,"5316997912",node,station,Landgraaf,6.0196861,50.896491
n5320427711,"5320427711",node,station,Vlaardingen Oost,4.361647,51.9101567
n5320428567,"5320428567",node,station,Vlaardingen Centrum,4.3438134,51.9031357
n5320431173,"5320431173",node,station,Maassluis Centrum,4.2537315,51.9164305
n5320433276,"5320433276",node,station,Schiedam Nieuwland,4.383435,51.9227659
n5320436262,"5320436262",node,station,Maassluis West,4.235402,51.9260714
n5360384018,"5360384018",node,station,Station RAI,4.8893261,52.3377124
n5410560059,"5410560059",node,station,Lansingerland-Zoetermeer,4.5185034,52.0410702
n5424713348,"5424713348",node,station,Centraal Station,4.9009578,52.3774316
n5661145776,"5661145776",node,station,Kampen Zuid,5.9132744,52.5329839
n5669443996,"5669443996",node,station,Doetinchem De Huet,6.2600282,51.9591649
n5687009081,"5687009081",node,station,Eygelshoven,6.0456023,50.8901122
n5687009082,"5687009082",node,station,Chevremont,6.0595563,50.8762291
n5737467956,"5737467956",node,station,Europaplein,4.8914727,52.3416064
n5737467957,"5737467957",node,station,De Pijp,4.8906926,52.3539754
n5737467958,"5737467958",node,station,Vijzelgracht,4.8911553,52.3607748
n5737467960,"5737467960",node,station,Noorderpark,4.9187004,52.3889316
n5737467961,"5737467961",node,station,Noord,4.9323589,52.4019931
n5977673549,"5977673549",node,station,Zwolle Stadshagen,6.0512888,52.5278636
n6028127347,"6028127347",node,station,Van Tuyllpark,4.5289842,52.0470643
n6202080926,"6202080926",node,station,Steendijkpolder,4.2248525,51.9325971
n6206333075,"6206333075",node,station,Hoek van Holland Haven,4.1275061,51.976668
n6349918964,"6349918964",node,,,5.1679771,52.0342651
n6501644177,"6501644177",node,station,Alexander,4.5519103,51.9514281
n6943877176,"6943877176",node,station,Delft Campus,4.3646868,51.9911036
n7042618356,"7042618356",node,station,Bergen op Zoom,4.2961899,51.4947862
n7045108268,"7045108268",node,station,Naarden-Bussum,5.1571557,52.280646
n7045125861,"7045125861",node,station,Soestdijk,5.2999111,52.1838566
n7046777542,"7046777542",node,station,Martenshoek,6.7405089,53.1608102
n7046777543,"7046777543",node,station,Kropswolde,6.7229343,53.1615882
n7046796326,"7046796326",node,station,Wierden,6.5921524,52.36154
n7046802197,"7046802197",node,station,Vroomshoop,6.5696271,52.457312
n7046834617,"7046834617",node,station,Rijssen,6.5192167,52.3117493
n7047016903,"7047016903",node,station,Beek-Elsloo,5.7872368,50.9477918
n7047043027,"7047043027",node,station,Maastricht Randwyck,5.7176213,50.8376341
n7047065519,"7047065519",node,station,Hoensbroek,5.9302573,50.9055737
n7072277768,"7072277768",node,station,Eijsden,5.7100788,50.7720454
n7264686568,"7264686568",node,station,Driebergen-Zeist,5.2602392,52.0652455
n7279230075,"7279230075",node,station,Hoevelaken,5.4579565,52.1664319
n7392110321,"7392110321",node,station,Stadhuis,4.4931162,52.061088
n7413715348,"7413715348",node,station,Sauwerd,6.540409,53.2915652
n7414160465,"7414160465",node,station,Bedum,6.5927288,53.3069316
n7414168868,"7414168868",node,station,Warffum,6.5668637,53.3901502
n7414169084,"7414169084",node,station,Winsum,6.5203056,53.330093
n7414170256,"7414170256",node,station,Usquert,6.6095178,53.4009642
n7414170368,"7414170368",node,station,Stedum,6.6873925,53.3263606
n7414177097,"7414177097",node,station,Loppersum,6.7474514,53.3347918
n7414187411,"7414187411",node,station,Delfzijl West,6.9070228,53.3320112
n7414196774,"7414196774",node,station,Delfzijl,6.9237352,53.3337339
n7414205076,"7414205076",node,station,Roodeschool,6.7583767,53.4210157
n7414217648,"7414217648",node,station,Baflo,6.5188465,53.361054
n7414249859,"7414249859",node,station,Uithuizen,6.6746834,53.4096293
n7414263308,"7414263308",node,station,Uithuizermeeden,6.7202534,53.4139462
n7414299354,"7414299354",node,station,Eemshaven,6.8308031,53.4586109
n7414300382,"7414300382",node,station,Hoogezand-Sappemeer,6.7709176,53.1597953
n7414323306,"7414323306",node,station,Scheemda,6.977959,53.1654348
n7414329623,"7414329623",node,station,Zuidbroek,6.8667625,53.1593423
n7414352883,"7414352883",node,station,Veendam,6.8862686,53.1049958
n7414363761,"7414363761",node,station,Bad Nieuweschans,7.2005246,53.1847702
n7510315998,"7510315998",node,station,Eindhoven Centraal,5.4795265,51.4429623
n7515219712,"7515219712",node,station,Oudenbosch,4.5334608,51.5878989
n7515219713,"7515219713",node,station,Zevenbergen,4.6100851,51.6413438
n7515219803,"7515219803",node,station,Maarheeze,5.6303829,51.3042309
n7515219804,"7515219804",node,station,Heeze,5.5694204,51.3853329
n7515233169,"7515233169",node,station,Lage Zwaluwe,4.6637116,51.6901564
n7515233170,"7515233170",node,station,Breda-Prinsenbeek,4.7214222,51.6057193
n7515240586,"7515240586",node,station,Oisterwijk,5.193898,51.5821442
n7515242512,"7515242512",node,station,Dordrecht Zuid,4.6715744,51.79017
